A,Coef.(Intercept),Coef.DiagnosisFactorBipolar,Coef.DiagnosisFactorDepression,Coef.DiagnosisFactorSchizophrenia,Coef.BrainpH,Coef.RNADegradPerSample,Coef.RateofDeathFactorOn respirator,Coef.RateofDeathFactorPossible anoxia,t.(Intercept),t.DiagnosisFactorBipolar,t.DiagnosisFactorDepression,t.DiagnosisFactorSchizophrenia,t.BrainpH,t.RNADegradPerSample,t.RateofDeathFactorOn respirator,t.RateofDeathFactorPossible anoxia,p.value.(Intercept),p.value.DiagnosisFactorBipolar,p.value.DiagnosisFactorDepression,p.value.DiagnosisFactorSchizophrenia,p.value.BrainpH,p.value.RNADegradPerSample,p.value.RateofDeathFactorOn respirator,p.value.RateofDeathFactorPossible anoxia,p.value.adj.(Intercept),p.value.adj.DiagnosisFactorBipolar,p.value.adj.DiagnosisFactorDepression,p.value.adj.DiagnosisFactorSchizophrenia,p.value.adj.BrainpH,p.value.adj.RNADegradPerSample,p.value.adj.RateofDeathFactorOn respirator,p.value.adj.RateofDeathFactorPossible anoxia,F,F.p.value
6.803323874,3.594617105,-0.121748717,-0.086362249,0.076249072,0.427021388,0.694918431,-0.033647279,0.127737371,3.5547345,-1.393276497,-1.01756092,0.936869073,2.849108556,1.725938283,-0.281990113,0.857794411,0.000870755,0.170048355,0.31406253,0.3535842,0.006472057,0.090885195,0.779181047,0.395331001,0.001091283,0.999843863,0.999951772,0.991234928,0.059126663,0.16549389,0.999396546,0.783969245,6591.179063,2.30E-69
5.581693473,5.822995048,0.029995567,-0.030321885,0.05097909,0.143834851,-1.388001858,-0.036024292,0.090874626,7.352665832,0.438302422,-0.456180319,0.799797965,1.225370364,-4.401749803,-0.385499002,0.779205035,2.30E-09,0.663162061,0.650347683,0.427825704,0.226501425,6.09E-05,0.701595747,0.439739541,7.10E-09,0.999843863,0.999951772,0.991234928,0.463659375,0.002338474,0.999396546,0.811759875,7234.029635,2.55E-70
7.163913922,7.299328038,-0.043994944,-0.004399651,0.00952027,0.093503731,-0.86420268,-0.005547813,0.14520128,7.88193526,-0.54975746,-0.056604397,0.127728872,0.681214303,-2.343702532,-0.050769301,1.06470951,3.66E-10,0.585071917,0.955098731,0.898904948,0.499057032,0.023345134,0.95972311,0.29241161,1.35E-09,0.999843863,0.999951772,0.999083706,0.720364058,0.061803171,0.999396546,0.715016208,8711.928337,3.15E-72
2.625132851,1.71703372,-0.019454377,0.069479982,-0.038737408,0.133421447,0.089904461,0.002531846,0.055643791,2.750385159,-0.360620486,1.326039111,-0.770965702,1.441933312,0.361686943,0.034370145,0.605260195,0.008407337,0.719988439,0.191193725,0.444560853,0.155908873,0.719196472,0.9727266,0.547898763,0.009532105,0.999843863,0.999951772,0.991234928,0.378958719,0.795479115,0.999396546,0.857962029,2574.733618,1.00E-59
9.620983885,11.54350247,0.116576291,0.143704673,-0.037361132,-0.436152402,0.889170271,-0.141069614,0.237091735,6.830567732,0.798266346,1.013146011,-0.274681261,-1.74125472,1.321420482,-0.70742773,0.952678413,1.43E-08,0.428705079,0.316144257,0.784757132,0.088139054,0.192716514,0.48277126,0.345595419,3.81E-08,0.999843863,0.999951772,0.994145966,0.273341084,0.292651201,0.999396546,0.754608273,4719.117065,6.16E-66
6.745927232,6.265745725,0.061151396,0.014554177,0.050844532,0.022987459,0.367707489,-0.171195067,0.271301671,6.659063242,0.752081887,0.184293481,0.671389336,0.164829969,0.981476142,-1.541917076,1.957958802,2.61E-08,0.455727547,0.854570954,0.505237813,0.869780109,0.331350858,0.12975693,0.056147035,6.58E-08,0.999843863,0.999951772,0.991234928,0.940753333,0.444118039,0.999396546,0.385244912,7483.488307,1.14E-70
3.186693848,3.103403464,-0.02337443,-0.067252832,0.027147977,0.017814561,-0.009127625,-0.105350419,0.024438578,4.207209818,-0.366703748,-1.086296678,0.457281066,0.162943072,-0.031077826,-1.210379605,0.224979304,0.000114417,0.715475107,0.28285194,0.649562123,0.87125731,0.975338217,0.232146066,0.822964357,0.000160259,0.999843863,0.999951772,0.991234928,0.941028326,0.984084613,0.999396546,0.958350568,2717.23999,2.82E-60
2.34565615,2.182164836,0.019207399,0.111914963,0.015083761,0.006733495,0.110362949,0.022419476,-0.073649325,2.158408072,0.219853275,1.318912868,0.185372566,0.044935687,0.274161329,0.187932054,-0.49468129,0.036001695,0.826931359,0.193547133,0.85372931,0.964347714,0.785154238,0.8517337,0.623114698,0.038718462,0.999843863,0.999951772,0.998446562,0.983068813,0.848599818,0.999396546,0.889654852,783.9159181,1.44E-47
4.90621024,7.037936661,-0.034550633,-0.077213801,-0.147503079,-0.361758833,0.195532853,0.153701355,0.079369676,8.282657824,-0.470542391,-1.08268281,-2.156826748,-2.872422681,0.57793767,1.53296225,0.634292653,9.21E-11,0.640129839,0.284436896,0.03613174,0.006079817,0.566047123,0.131945965,0.528945263,3.87E-10,0.999843863,0.999951772,0.95452584,0.057193084,0.671300042,0.999396546,0.850535292,4855.352552,3.14E-66
2.762337253,1.392987327,0.021242559,-0.115933174,-0.103290271,0.169926958,0.430072893,0.156224133,-0.132939316,1.800412701,0.317724075,-1.785313844,-1.658723995,1.481808296,1.396059318,1.711206507,-1.166780199,0.078172909,0.752092441,0.080622111,0.103787947,0.145022011,0.169213789,0.093593133,0.249147061,0.082342516,0.999843863,0.999951772,0.991234928,0.363780457,0.264911591,0.999396546,0.674766186,1857.938785,2.20E-56
5.504800839,9.454664721,-0.03441476,0.023679066,-0.089479027,-0.512585316,-0.900975043,-0.11009886,0.280132357,6.078519594,-0.256044123,0.18138368,-0.714764131,-2.223426031,-1.454793488,-0.599879348,1.222997789,2.00E-07,0.799026869,0.856841333,0.478267247,0.030999353,0.152329867,0.551449285,0.227388006,4.28E-07,0.999843863,0.999951772,0.991234928,0.150354774,0.245907625,0.999396546,0.652094605,1825.129866,3.35E-56
6.080707705,6.938458612,0.04341211,-0.006506471,0.042384386,-0.087837966,-0.384207275,-0.112795628,-0.058009726,8.908920503,0.645046996,-0.099538148,0.676172939,-0.760937857,-1.238980765,-1.22739329,-0.505793919,1.10E-11,0.522012791,0.921131606,0.502223311,0.450470517,0.221464643,0.225747513,0.615350089,5.76E-11,0.999843863,0.999951772,0.991234928,0.680112028,0.324604759,0.999396546,0.884792099,8873.889852,2.04E-72
7.08996623,3.981184851,-0.009100543,0.04560796,0.042764016,0.239826273,1.945750731,0.068464552,-0.323696275,3.736314619,-0.098836373,0.509980639,0.49865409,1.518562568,4.586223307,0.544535585,-2.062906316,0.000502314,0.9216858,0.612436172,0.620333795,0.135527821,3.32E-05,0.588630681,0.044634243,0.000647271,0.999843863,0.999951772,0.991234928,0.349381489,0.001888557,0.999396546,0.3527861,6450.006911,3.83E-69
6.738907611,5.661171565,-0.069130422,0.031553868,-0.00740032,0.194826484,-0.154362412,0.054596587,0.014919461,9.168730383,-1.295658292,0.608888033,-0.148916637,2.128902217,-0.627886781,0.749372552,0.164084185,4.59E-12,0.201379572,0.545511552,0.882252406,0.038497227,0.533097484,0.457342936,0.870363908,2.64E-11,0.999843863,0.999951772,0.999083706,0.171007682,0.641051411,0.999396546,0.969977337,17340.89138,2.69E-79
5.086102291,5.331722539,-0.055296532,-0.034462061,0.014793214,0.046147579,-0.625635532,0.050998809,-0.030375922,7.735999258,-0.928464195,-0.595760994,0.266686616,0.451754654,-2.279854771,0.62710218,-0.299287826,6.07E-10,0.357880023,0.554174621,0.790869496,0.653510148,0.02716739,0.533607221,0.766031367,2.13E-09,0.999843863,0.999951772,0.994145966,0.82764556,0.069098261,0.999396546,0.941545812,7928.415332,2.92E-71
3.570068717,4.06778709,-0.044637905,-0.003017786,-0.151474319,0.005414164,-0.585638437,-0.009288555,0.08039278,4.049319578,-0.514216522,-0.035792685,-1.87349551,0.036363033,-1.464165977,-0.078361255,0.543439992,0.000189364,0.609494461,0.971598269,0.067184709,0.971145896,0.149762381,0.937871203,0.589378646,0.000257925,0.999843863,0.999951772,0.97241902,0.985475254,0.243232312,0.999396546,0.875547682,1839.413991,2.79E-56
8.227472775,2.519908786,0.109961054,0.029939911,0.232234007,0.646249812,1.964942145,0.143289783,-0.667702654,2.052950585,1.036694877,0.290620421,2.350765447,3.552212527,4.020502546,0.98932344,-3.693920002,0.045630411,0.305148176,0.772611885,0.02295337,0.000877356,0.000207436,0.327538133,0.000571788,0.048754922,0.999843863,0.999951772,0.95452584,0.017487817,0.003796637,0.999396546,0.08904616,6549.656784,2.67E-69
6.150659868,6.62155025,0.017878199,0.037632483,-0.017691641,-0.071515238,-0.046052498,0.014810563,0.048196624,7.817115672,0.244246878,0.529336303,-0.259504437,-0.569626627,-0.13654536,0.148179402,0.386379599,4.58E-10,0.808095837,0.599047435,0.796372038,0.571626056,0.891969595,0.88283098,0.700947938,1.65E-09,0.999843863,0.999951772,0.994145966,0.773413671,0.927887106,0.999396546,0.921205183,7675.193196,6.29E-71
