"","ProbesetID","EntrezGeneID","GeneSymbol"
"306","100288432_at","100288432","IL10RB-DT"
"307","100288637_at","100288637","LOC100288637"
"308","100288730_at","100288730","PAN3-AS1"
"309","100288797_at","100288797","TMEM239"
"310","100288911_at","100288911","CRIM1-DT"
"311","100289019_at","100289019","SLC25A25-AS1"
"312","100289061_at","100289061","ADAMTSL4-AS2"
"313","100289092_at","100289092","ATP2A1-AS1"
"314","100289097_at","100289097","FRG1CP"
"315","100289098_at","100289098","GS1-124K5.4"
"316","100289187_at","100289187","TMEM225B"
"317","100289230_at","100289230","LOC100289230"
"318","100289255_at","100289255","TMEM238L"
"319","100289274_at","100289274","DNAJC3-DT"
"320","100289341_at","100289341","MAN1B1-DT"
"321","100289361_at","100289361","LOC100289361"
"322","100289373_at","100289373","UBAC2-AS1"
"323","100289410_at","100289410","MCF2L-AS1"
"324","100289495_at","100289495","LOC100289495"
"325","100289509_at","100289509","KCNIP2-AS1"
"326","100289635_at","100289635","ZNF605"
"327","100289678_at","100289678","ZNF783"
"328","100292680_at","100292680","LINC00942"
"329","100293516_at","100293516","ZNF587B"
"330","100294362_at","100294362","RNF213-AS1"
"331","100294720_at","100294720","NHEG1"
"332","1003_at","1003","CDH5"
"333","100302522_at","100302522","PTCSC1"
"334","100302650_at","100302650","BABAM2-AS1"
"335","100302691_at","100302691","LINC00184"
"336","100302740_at","100302740","FAS-AS1"
"337","100303728_at","100303728","SLC25A5-AS1"
"338","100303755_at","100303755","PET117"
"339","100306951_at","100306951","PITPNA-AS1"
"340","100309464_at","100309464","OTX2-AS1"
"341","100310756_at","100310756","LOC100310756"
"342","100310838_at","100310838","VDAC1P3"
"343","100310840_at","100310840","VDAC1P8"
"344","100310850_at","100310850","SNRPCP11"
"345","100316868_at","100316868","HOTTIP"
"346","100316904_at","100316904","SAP25"
"347","100329135_at","100329135","TRPC5OS"
"348","100359394_at","100359394","LINC00102"
"349","10036_at","10036","CHAF1A"
"350","100379174_at","100379174","MACROD2-AS1"
"351","100379224_at","100379224","LOC100379224"
"352","100379661_at","100379661","GRIK1-AS2"
"353","10038_at","10038","PARP2"
"354","100381270_at","100381270","ZBED6"
"355","10039_at","10039","PARP3"
"356","1004_at","1004","CDH6"
"357","10040_at","10040","TOM1L1"
"358","100419583_at","100419583","LOC100419583"
"359","100419702_at","100419702","LOC100419702"
"360","10042_at","10042","HMGXB4"
"361","100420228_at","100420228","LOC100420228"
"362","100421341_at","100421341","UBE2V2P3"
"363","100421372_at","100421372","LOC100421372"
"364","100421436_at","100421436","UBE2FP1"
"365","100421641_at","100421641","LOC100421641"
"366","100422212_at","100422212","LOC100422212"
"367","100422478_at","100422478","LOC100422478"
"368","100422623_at","100422623","LOC100422623"
"369","100422737_at","100422737","LINC02532"
"370","10043_at","10043","TOM1"
"371","10044_at","10044","SH2D3C"
"372","10045_at","10045","SH2D3A"
"373","10046_at","10046","MAMLD1"
"374","10047_at","10047","CST8"
"375","10048_at","10048","RANBP9"
"376","10049_at","10049","DNAJB6"
"377","100498859_at","100498859","LINC00881"
"378","100499171_at","100499171","LINC00276"
"379","100499177_at","100499177","THAP9-AS1"
"380","100499194_at","100499194","LOC100499194"
"381","100499466_at","100499466","LINC00674"
"382","100499467_at","100499467","LINC00673"
"383","100499489_at","100499489","LOC100499489"
"384","1005_at","1005","CDH7"
"385","10050_at","10050","SLC17A4"
"386","100500850_at","100500850","MIR3682"
"387","100500934_at","100500934","LOC100500934"
"388","100505474_at","100505474","LINC01539"
"389","100505478_at","100505478","TEX48"
"390","100505483_at","100505483","PRKAG2-AS1"
"391","100505495_at","100505495","PCAT19"
"392","100505498_at","100505498","LOC100505498"
"393","100505501_at","100505501","LOC100505501"
"394","100505515_at","100505515","LINC01723"
"395","100505518_at","100505518","EDNRB-AS1"
"396","100505534_at","100505534","GPR176-DT"
"397","100505536_at","100505536","ISM1-AS1"
"398","100505538_at","100505538","RBM26-AS1"
"399","100505540_at","100505540","SLIT1-AS1"
"400","100505545_at","100505545","LINC01095"
"401","100505547_at","100505547","LINC01208"
"402","100505549_at","100505549","LOC100505549"
"403","100505555_at","100505555","LOC100505555"
"404","100505570_at","100505570","LINC02708"
"405","100505573_at","100505573","INAFM2"
"406","100505576_at","100505576","LINC00672"
"407","100505583_at","100505583","LINC00838"
"408","100505592_at","100505592","GAPLINC"
"409","100505601_at","100505601","PARD3-AS1"
"410","100505609_at","100505609","LINC02053"
"411","100505616_at","100505616","SNHG21"
"412","100505619_at","100505619","LINC00919"
"413","100505621_at","100505621","C11orf72"
"414","100505622_at","100505622","LOC100505622"
"415","100505624_at","100505624","GTF3C2-AS1"
"416","100505633_at","100505633","LINC01133"
"417","100505641_at","100505641","FGD5-AS1"
"418","100505658_at","100505658","DIAPH1-AS1"
"419","100505659_at","100505659","LINC00967"
"420","100505664_at","100505664","LOC100505664"
"421","100505666_at","100505666","DCST1-AS1"
"422","100505676_at","100505676","RRS1-AS1"
"423","100505681_at","100505681","NAPA-AS1"
"424","100505683_at","100505683","LINC01431"
"425","100505685_at","100505685","LOC100505685"
"426","100505687_at","100505687","LINC00888"
"427","100505696_at","100505696","SH3BP5-AS1"
"428","100505702_at","100505702","LINC01094"
"429","100505711_at","100505711","LOC100505711"
"430","100505715_at","100505715","LOC100505715"
"431","100505716_at","100505716","LOC100505716"
"432","100505718_at","100505718","LINC01592"
"433","100505728_at","100505728","LOC100505728"
"434","100505738_at","100505738","MIR4458HG"
"435","100505741_at","100505741","SPATA1"
"436","100505746_at","100505746","ITGB2-AS1"
"437","100505758_at","100505758","PRMT5-AS1"
"438","100505761_at","100505761","RPARP-AS1"
"439","100505768_at","100505768","LINC01364"
"440","100505774_at","100505774","LOC100505774"
"441","100505776_at","100505776","LINC01541"
"442","100505782_at","100505782","LOC100505782"
"443","100505783_at","100505783","OSER1-DT"
"444","100505797_at","100505797","LOC100505797"
"445","100505806_at","100505806","SNHG18"
"446","100505811_at","100505811","LINC02148"
"447","100505812_at","100505812","CARD8-AS1"
"448","100505824_at","100505824","LINC02805"
"449","100505826_at","100505826","STK4-AS1"
"450","100505832_at","100505832","PROX1-AS1"
"451","100505835_at","100505835","LINC01532"
"452","100505839_at","100505839","SH3PXD2A-AS1"
"453","100505841_at","100505841","LOC100505841"
"454","100505851_at","100505851","LOC100505851"
"455","100505853_at","100505853","LINC01898"
"456","100505854_at","100505854","APTR"
"457","100505865_at","100505865","LINC00920"
"458","100505875_at","100505875","LINC01088"
"459","100505876_at","100505876","CEBPZOS"
"460","100505877_at","100505877","UBE2E2-AS1"
"461","100505878_at","100505878","LINC02059"
"462","100505879_at","100505879","KIF25-AS1"
"463","100505881_at","100505881","MAGI2-AS3"
"464","100505890_at","100505890","SORCS3-AS1"
"465","100505893_at","100505893","SLIT2-IT1"
"466","100505894_at","100505894","TMEM161B-AS1"
"467","100505912_at","100505912","LOC100505912"
"468","100505918_at","100505918","LOC100505918"
"469","100505920_at","100505920","LINC02036"
"470","100505929_at","100505929","LINC01549"
"471","100505933_at","100505933","ADD3-AS1"
"472","100505938_at","100505938","LOC100505938"
"473","100505942_at","100505942","LOC100505942"
"474","100505964_at","100505964","LINC01304"
"475","100505967_at","100505967","LINC00645"
"476","100505975_at","100505975","ENO1-AS1"
"477","100505978_at","100505978","LOC100505978"
"478","100505984_at","100505984","LINC02478"
"479","100505985_at","100505985","LOC100505985"
"480","100505989_at","100505989","SMIM31"
"481","100506012_at","100506012","PPP5D1"
"482","100506013_at","100506013","APELA"
"483","100506016_at","100506016","LOC100506016"
"484","100506022_at","100506022","LINC02606"
"485","100506025_at","100506025","CRPPA-AS1"
"486","100506046_at","100506046","GAS5-AS1"
"487","100506047_at","100506047","LINC02580"
"488","100506049_at","100506049","LRRC72"
"489","100506054_at","100506054","RNASEH1-AS1"
"490","100506068_at","100506068","DACT3-AS1"
"491","100506070_at","100506070","RBFADN"
"492","100506071_at","100506071","LOC100506071"
"493","100506082_at","100506082","LINC02749"
"494","100506083_at","100506083","LOC100506083"
"495","100506084_at","100506084","ARL17B"
"496","100506098_at","100506098","LOC100506098"
"497","100506100_at","100506100","LOC100506100"
"498","100506107_at","100506107","LINC02382"
"499","100506108_at","100506108","SIX3-AS1"
"500","100506113_at","100506113","UVRAG-DT"
"501","100506119_at","100506119","LINC01503"
"502","100506122_at","100506122","LINC02431"
"503","100506124_at","100506124","LOC100506124"
"504","100506125_at","100506125","ADCY6-DT"
"505","100506126_at","100506126","LINC00867"
"506","100506127_at","100506127","GVQW3"
"507","100506142_at","100506142","LOC100506142"
"508","100506144_at","100506144","TMEM35B"
"509","100506161_at","100506161","TAF1A-AS1"
"510","100506172_at","100506172","LINC01568"
"511","100506175_at","100506175","LOC100506175"
"512","100506190_at","100506190","LINC00963"
"513","100506195_at","100506195","LARGE-AS1"
"514","100506207_at","100506207","LOC100506207"
"515","100506211_at","100506211","MIR210HG"
"516","100506215_at","100506215","PAXBP1-AS1"
"517","100506229_at","100506229","LINC01093"
"518","100506233_at","100506233","RAB30-DT"
"519","100506236_at","100506236","LOC100506236"
"520","100506237_at","100506237","NKX2-1-AS1"
"521","100506243_at","100506243","KRBOX1"
"522","100506271_at","100506271","LOC100506271"
"523","100506272_at","100506272","LINC02492"
"524","100506274_at","100506274","LOC100506274"
"525","100506275_at","100506275","KRBOX1-AS1"
"526","100506282_at","100506282","LOC100506282"
"527","100506286_at","100506286","TBC1D8-AS1"
"528","100506289_at","100506289","LOC100506289"
"529","100506299_at","100506299","ID2-AS1"
"530","100506302_at","100506302","LOC100506302"
"531","100506311_at","100506311","HOTAIRM1"
"532","100506314_at","100506314","GPRC5D-AS1"
"533","100506319_at","100506319","LINC01988"
"534","100506325_at","100506325","SP2-AS1"
"535","100506343_at","100506343","INKA2-AS1"
"536","100506358_at","100506358","LOC100506358"
"537","100506365_at","100506365","OTUD6B-AS1"
"538","100506368_at","100506368","FZD4-DT"
"539","100506371_at","100506371","LINC02091"
"540","100506374_at","100506374","EDDM13"
"541","100506380_at","100506380","LINC01006"
"542","100506385_at","100506385","LINC01426"
"543","100506388_at","100506388","LOC100506388"
"544","100506403_at","100506403","LOC100506403"
"545","100506405_at","100506405","LOC100506405"
"546","100506406_at","100506406","LOC100506406"
"547","100506409_at","100506409","ELOVL2-AS1"
"548","100506413_at","100506413","DOCK4-AS1"
"549","100506421_at","100506421","PANTR1"
"550","100506428_at","100506428","CBR3-AS1"
"551","100506433_at","100506433","LINC00648"
"552","100506436_at","100506436","SPAG5-AS1"
"553","100506443_at","100506443","ITPKB-IT1"
"554","100506446_at","100506446","LOC100506446"
"555","100506457_at","100506457","MIR3681HG"
"556","100506462_at","100506462","SRD5A3-AS1"
"557","100506465_at","100506465","LINC01234"
"558","100506469_at","100506469","TMEM147-AS1"
"559","100506470_at","100506470","LINC01718"
"560","100506473_at","100506473","LOC100506473"
"561","100506475_at","100506475","EGFLAM-AS2"
"562","100506476_at","100506476","LOC100506476"
"563","100506489_at","100506489","LOC100506489"
"564","100506492_at","100506492","DSCAM-AS1"
"565","100506495_at","100506495","LIFR-AS1"
"566","100506497_at","100506497","LOC100506497"
"567","100506498_at","100506498","LINC02274"
"568","100506504_at","100506504","PRKCZ-AS1"
"569","100506526_at","100506526","C5orf64-AS1"
"570","100506527_at","100506527","LINC01007"
"571","100506530_at","100506530","LINC02349"
"572","100506540_at","100506540","SPTY2D1OS"
"573","100506542_at","100506542","LINC01082"
"574","100506555_at","100506555","NECTIN3-AS1"
"575","100506571_at","100506571","LINC02809"
"576","100506581_at","100506581","C16orf95"
"577","100506585_at","100506585","LOC100506585"
"578","100506599_at","100506599","PPP1R26-AS1"
"579","100506603_at","100506603","VASH1-AS1"
"580","100506606_at","100506606","LOC100506606"
"581","100506622_at","100506622","LINC00540"
"582","100506649_at","100506649","PXN-AS1"
"583","100506655_at","100506655","LCMT1-AS2"
"584","100506660_at","100506660","DDX11-AS1"
"585","100506668_at","100506668","NRAV"
"586","100506675_at","100506675","LOC100506675"
"587","100506677_at","100506677","AA06"
"588","100506679_at","100506679","LOC100506679"
"589","100506680_at","100506680","SACS-AS1"
"590","100506681_at","100506681","JARID2-AS1"
"591","100506686_at","100506686","IQCH-AS1"
"592","100506691_at","100506691","LOC100506691"
"593","100506696_at","100506696","PCAT6"
"594","100506697_at","100506697","LINC00327"
"595","100506710_at","100506710","EBLN3P"
"596","100506713_at","100506713","ALOX12-AS1"
"597","100506714_at","100506714","NUP50-DT"
"598","100506724_at","100506724","LINC00901"
"599","100506725_at","100506725","LOC100506725"
"600","100506730_at","100506730","LOC100506730"
"601","100506731_at","100506731","LOC100506731"
"602","100506733_at","100506733","FAM170B-AS1"
"603","100506742_at","100506742","CASP12"
"604","100506753_at","100506753","AZIN1-AS1"
"605","100506755_at","100506755","MIR497HG"
"606","100506757_at","100506757","LINC00629"
"607","100506765_at","100506765","IGSF11-AS1"
"608","100506769_at","100506769","C10orf71-AS1"
"609","100506776_at","100506776","TRG-AS1"
"610","100506779_at","100506779","TSPOAP1-AS1"
"611","100506783_at","100506783","HOXD-AS2"
"612","100506790_at","100506790","LOC100506790"
"613","100506791_at","100506791","LINC01511"
"614","100506795_at","100506795","LINC01354"
"615","100506797_at","100506797","THORLNC"
"616","100506826_at","100506826","MYLK-AS1"
"617","100506827_at","100506827","LINC02475"
"618","100506834_at","100506834","GAS1RR"
"619","100506840_at","100506840","IQCF4"
"620","100506844_at","100506844","GIHCG"
"621","100506851_at","100506851","LOC100506851"
"622","100506858_at","100506858","LOC100506858"
