Gene Symbol,Subject_SampleSize_ANOVA_MLM_DF,Measurements_SampleSize_ANOVA_MLM_DF,DF_Diagnosis_ANOVA_MLM_DF,DF_AllOtherSubjectVar (7 covariates + intercept)_ANOVA_MLM_DF,DF_Card (# of Cards-1)_ANOVA_MLM_DF,(Intercept)_ANOVA_MLM_ChiSquareStat,Diagnosis_ANOVA_MLM_ChiSquareStat,Age_ANOVA_MLM_ChiSquareStat,Gender_ANOVA_MLM_ChiSquareStat,pH_ANOVA_MLM_ChiSquareStat,PMI_ANOVA_MLM_ChiSquareStat,Integrity_RIN_ANOVA_MLM_ChiSquareStat,RNA_Concentration_ANOVA_MLM_ChiSquareStat,Card_ANOVA_MLM_ChiSquareStat,(Intercept)_ANOVA_MLM_NominalPval,Diagnosis_ANOVA_MLM_NominalPval,Age_ANOVA_MLM_NominalPval,Gender_ANOVA_MLM_NominalPval,pH_ANOVA_MLM_NominalPval,PMI_ANOVA_MLM_NominalPval,Integrity_RIN_ANOVA_MLM_NominalPval,RNA_Concentration_ANOVA_MLM_NominalPval,Card_ANOVA_MLM_NominalPval,(Intercept)_ANOVA_MLM_FDR,Diagnosis_ANOVA_MLM_FDR,Age_ANOVA_MLM_FDR,Gender_ANOVA_MLM_FDR,pH_ANOVA_MLM_FDR,PMI_ANOVA_MLM_FDR,Integrity_RIN_ANOVA_MLM_FDR,RNA_Concentration_ANOVA_MLM_FDR,Card_ANOVA_MLM_FDR,Subject_SampleSize_PostHocSummary_MLM_DF,Measurements_SampleSize_PostHocSummary_MLM_DF,DF1_EachDiagnosis_PostHocSummary_MLM_DF,DF_AllOtherSubjectVar (7 covariates + intercept)_PostHocSummary_MLM_DF,DF_Card (# of Cards-1)_PostHocSummary_MLM_DF,"DF2_SubjectLevel (e.g., Diagnosis): 69 Subjects - 9 DF in Subject Level Var_PostHocSummary_MLM_DF","DF2_SampleLevel (e.g., Card, Intercept): SampleSize-(#Subjects)-(#Cards-1)_PostHocSummary_MLM_DF",(Intercept)_PostHocSummary_MLM_Beta,Diagnosis_BP_PostHocSummary_MLM_Beta,Diagnosis_Schiz_PostHocSummary_MLM_Beta,Age_PostHocSummary_MLM_Beta,Gender_F_PostHocSummary_MLM_Beta,pH_PostHocSummary_MLM_Beta,PMI_PostHocSummary_MLM_Beta,Integrity_RIN_PostHocSummary_MLM_Beta,RNA_Concentration_PostHocSummary_MLM_Beta,(Intercept)_PostHocSummary_MLM_SE,Diagnosis_BP_PostHocSummary_MLM_SE,Diagnosis_Schiz_PostHocSummary_MLM_SE,Age_PostHocSummary_MLM_SE,Gender_F_PostHocSummary_MLM_SE,pH_PostHocSummary_MLM_SE,PMI_PostHocSummary_MLM_SE,Integrity_RIN_PostHocSummary_MLM_SE,RNA_Concentration_PostHocSummary_MLM_SE,(Intercept)_PostHocSummary_MLM_Tstat,Diagnosis_BP_PostHocSummary_MLM_Tstat,Diagnosis_Schiz_PostHocSummary_MLM_Tstat,Age_PostHocSummary_MLM_Tstat,Gender_F_PostHocSummary_MLM_Tstat,pH_PostHocSummary_MLM_Tstat,PMI_PostHocSummary_MLM_Tstat,Integrity_RIN_PostHocSummary_MLM_Tstat,RNA_Concentration_PostHocSummary_MLM_Tstat,(Intercept)_PostHocSummary_MLM_NominalPval,Diagnosis_BP_PostHocSummary_MLM_NominalPval,Diagnosis_Schiz_PostHocSummary_MLM_NominalPval,Age_PostHocSummary_MLM_NominalPval,Gender_F_PostHocSummary_MLM_NominalPval,pH_PostHocSummary_MLM_NominalPval,PMI_PostHocSummary_MLM_NominalPval,Integrity_RIN_PostHocSummary_MLM_NominalPval,RNA_Concentration_PostHocSummary_MLM_NominalPval,(Intercept)_PostHocSummary_MLM_FDR,Diagnosis_BP_PostHocSummary_MLM_FDR,Diagnosis_Schiz_PostHocSummary_MLM_FDR,Age_PostHocSummary_MLM_FDR,Gender_F_PostHocSummary_MLM_FDR,pH_PostHocSummary_MLM_FDR,PMI_PostHocSummary_MLM_FDR,Integrity_RIN_PostHocSummary_MLM_FDR,RNA_Concentration_PostHocSummary_MLM_FDR
AQP4,69,133,2,1,35,23.790,0.586,0.376,0.006,18.850,10.714,2.510,2.241,155.766,1.075E-06,7.46E-01,5.40E-01,9.38E-01,1.41E-05,1.06E-03,1.13E-01,1.34E-01,3.58E-17,1.99E-05,8.45E-01,6.52E-01,9.87E-01,1.57E-03,2.36E-02,2.46E-01,2.66E-01,5.67E-17,69,133,1,1,35,60,29,14.0672,0.0450,0.0991,0.0027,-0.0153,-1.7303,-0.0285,-0.1783,0.0014,3.52570,0.17117,0.15822,0.00545,0.24203,0.48720,0.01065,0.13760,0.00113,3.990,0.263,0.626,0.501,-0.063,-3.552,-2.678,-1.296,1.225,1.82E-04,7.93E-01,5.33E-01,6.18E-01,9.50E-01,7.52E-04,9.55E-03,2.00E-01,2.25E-01,2.02E-03,9.33E-01,8.46E-01,7.46E-01,9.94E-01,8.35E-02,1.99E-01,4.27E-01,4.24E-01
GJA1,69,133,2,1,35,14.264,0.682,0.090,1.164,12.437,6.190,0.188,3.661,243.500,1.589E-04,7.11E-01,7.65E-01,2.81E-01,4.21E-04,1.28E-02,6.64E-01,5.57E-02,4.62E-33,6.30E-04,8.31E-01,8.32E-01,6.68E-01,2.34E-02,7.51E-02,7.30E-01,1.34E-01,1.51E-32,69,133,1,1,35,60,29,10.8866,-0.1076,-0.0772,0.0013,-0.2134,-1.4048,-0.0217,-0.0488,0.0018,3.52374,0.17110,0.15813,0.00545,0.24184,0.48694,0.01064,0.13751,0.00113,3.090,-0.629,-0.488,0.245,-0.882,-2.885,-2.035,-0.355,1.565,3.04E-03,5.32E-01,6.27E-01,8.07E-01,3.81E-01,5.43E-03,4.62E-02,7.24E-01,1.23E-01,1.12E-02,8.20E-01,8.66E-01,8.79E-01,8.42E-01,2.26E-01,2.24E-01,7.95E-01,2.84E-01
S100B,69,133,2,1,35,0.139,1.260,0.662,0.143,0.005,0.829,0.791,0.845,157.741,7.095E-01,5.32E-01,4.16E-01,7.05E-01,9.44E-01,3.63E-01,3.74E-01,3.58E-01,1.63E-17,7.72E-01,7.39E-01,5.31E-01,9.03E-01,9.61E-01,4.95E-01,5.46E-01,4.91E-01,2.67E-17,69,133,1,1,35,60,29,0.8273,0.0003,0.1017,0.0028,0.0576,0.0216,-0.0061,-0.0770,0.0007,2.71434,0.13191,0.12180,0.00420,0.18612,0.37515,0.00820,0.10588,0.00087,0.305,0.002,0.835,0.666,0.309,0.058,-0.745,-0.727,0.752,7.62E-01,9.98E-01,4.07E-01,5.08E-01,7.58E-01,9.54E-01,4.59E-01,4.70E-01,4.55E-01,8.29E-01,1.00E+00,8.32E-01,6.48E-01,9.48E-01,9.68E-01,6.26E-01,6.68E-01,6.11E-01
SHANK2,69,133,2,1,35,0.001,2.111,40.668,1.285,2.546,10.360,17.149,9.266,336.105,9.821E-01,3.48E-01,1.80E-10,2.57E-01,1.11E-01,1.29E-03,3.46E-05,2.33E-03,7.04E-51,9.82E-01,6.34E-01,5.01E-09,6.68E-01,2.73E-01,2.38E-02,4.98E-04,1.73E-02,5.58E-50,69,133,1,1,35,60,29,0.0199,0.0609,0.0112,-0.0088,-0.0687,0.1954,0.0086,-0.1429,0.0009,1.08280,0.05273,0.04858,0.00168,0.07404,0.14970,0.00326,0.04218,0.00035,0.018,1.155,0.230,-5.217,-0.927,1.305,2.633,-3.388,2.490,9.85E-01,2.52E-01,8.19E-01,2.38E-06,3.57E-01,1.97E-01,1.07E-02,1.25E-03,1.56E-02,9.85E-01,5.99E-01,9.33E-01,6.60E-05,8.42E-01,4.74E-01,1.99E-01,1.77E-02,1.15E-01
SLC17A6,69,133,2,1,35,2.242,0.226,1.140,13.103,0.078,0.658,2.642,2.114,122.175,1.343E-01,8.93E-01,2.86E-01,2.95E-04,7.80E-01,4.17E-01,1.04E-01,1.46E-01,1.38E-11,1.82E-01,9.09E-01,4.00E-01,3.27E-02,8.75E-01,5.38E-01,2.31E-01,2.78E-01,1.78E-11,69,133,1,1,35,60,29,-2.7084,0.0158,0.0386,0.0030,0.4483,-0.0697,0.0044,-0.1146,0.0008,2.21111,0.10757,0.09921,0.00343,0.15141,0.30565,0.00667,0.08620,0.00071,-1.225,0.147,0.389,0.873,2.961,-0.228,0.664,-1.330,1.189,2.25E-01,8.84E-01,6.99E-01,3.86E-01,4.39E-03,8.20E-01,5.09E-01,1.89E-01,2.39E-01,3.05E-01,9.75E-01,8.81E-01,5.37E-01,4.87E-01,9.20E-01,6.43E-01,4.11E-01,4.32E-01
SLC17A7,69,133,2,1,35,0.071,1.353,22.244,0.122,1.909,1.258,0.643,5.634,366.073,7.901E-01,5.08E-01,2.40E-06,7.27E-01,1.67E-01,2.62E-01,4.22E-01,1.76E-02,8.88E-57,8.45E-01,7.24E-01,1.90E-05,9.03E-01,3.48E-01,3.88E-01,5.64E-01,6.16E-02,8.96E-56,69,133,1,1,35,60,29,-0.3762,0.0797,0.0384,-0.0104,-0.0336,0.2700,0.0048,-0.0440,-0.0011,1.72752,0.08435,0.07748,0.00270,0.11756,0.23889,0.00520,0.06713,0.00056,-0.218,0.945,0.495,-3.858,-0.286,1.130,0.917,-0.656,-1.942,8.28E-01,3.48E-01,6.22E-01,2.82E-04,7.76E-01,2.63E-01,3.63E-01,5.14E-01,5.69E-02,8.86E-01,6.56E-01,8.66E-01,2.16E-03,9.48E-01,5.21E-01,5.37E-01,6.85E-01,1.83E-01
SLC17A8,69,133,2,1,35,41.704,2.092,28.206,0.191,2.059,2.212,27.794,0.013,128.689,1.062E-10,3.51E-01,1.09E-07,6.62E-01,1.51E-01,1.37E-01,1.35E-07,9.09E-01,1.23E-12,5.89E-09,6.34E-01,1.14E-06,8.96E-01,3.29E-01,2.53E-01,1.50E-05,9.17E-01,1.70E-12,69,133,1,1,35,60,29,-9.9314,0.0447,-0.0655,-0.0128,-0.0457,0.3052,0.0069,0.3150,-0.0001,1.87996,0.09181,0.08432,0.00294,0.12788,0.25997,0.00565,0.07304,0.00061,-5.283,0.487,-0.777,-4.345,-0.357,1.174,1.217,4.313,-0.094,1.86E-06,6.28E-01,4.40E-01,5.47E-05,7.22E-01,2.45E-01,2.29E-01,6.11E-05,9.26E-01,6.89E-05,8.82E-01,8.32E-01,5.52E-04,9.48E-01,5.15E-01,4.03E-01,3.39E-03,9.34E-01
SLC1A1,69,133,2,1,35,11.682,5.541,7.526,0.015,3.096,0.005,1.458,0.136,205.341,6.310E-04,6.26E-02,6.08E-03,9.03E-01,7.85E-02,9.43E-01,2.27E-01,7.12E-01,5.52E-26,1.89E-03,3.02E-01,1.58E-02,9.83E-01,2.06E-01,9.69E-01,3.88E-01,7.60E-01,1.33E-25,69,133,1,1,35,60,29,-3.6785,0.0695,-0.0588,-0.0046,-0.0089,0.2619,0.0002,0.0505,0.0001,1.31565,0.06422,0.05901,0.00206,0.08959,0.18193,0.00396,0.05114,0.00043,-2.796,1.082,-0.996,-2.244,-0.099,1.439,0.059,0.988,0.302,6.94E-03,2.84E-01,3.23E-01,2.85E-02,9.21E-01,1.55E-01,9.54E-01,3.27E-01,7.64E-01,1.88E-02,5.99E-01,7.91E-01,7.39E-02,9.94E-01,4.05E-01,9.77E-01,5.59E-01,8.08E-01
SLC1A2,69,133,2,1,35,12.717,1.580,1.111,0.511,4.444,3.753,0.012,7.568,88.717,3.623E-04,4.54E-01,2.92E-01,4.75E-01,3.50E-02,5.27E-02,9.12E-01,5.94E-03,1.48E-06,1.22E-03,6.90E-01,4.00E-01,7.86E-01,1.39E-01,1.33E-01,9.29E-01,3.07E-02,1.62E-06,69,133,1,1,35,60,29,9.2968,-0.0428,-0.1452,-0.0043,-0.1278,-0.7595,-0.0153,-0.0112,0.0023,3.18691,0.15479,0.14301,0.00493,0.21867,0.44042,0.00963,0.12436,0.00102,2.917,-0.277,-1.015,-0.862,-0.585,-1.725,-1.585,-0.090,2.250,4.96E-03,7.83E-01,3.14E-01,3.92E-01,5.61E-01,8.98E-02,1.18E-01,9.28E-01,2.81E-02,1.57E-02,9.33E-01,7.91E-01,5.37E-01,8.96E-01,3.42E-01,2.92E-01,9.45E-01,1.36E-01
SLC1A3,69,133,2,1,35,19.802,0.713,1.025,0.642,8.921,7.152,3.029,4.736,175.039,8.591E-06,7.00E-01,3.11E-01,4.23E-01,2.82E-03,7.49E-03,8.18E-02,2.95E-02,1.56E-20,8.21E-05,8.27E-01,4.21E-01,7.69E-01,3.83E-02,6.39E-02,1.97E-01,8.99E-02,2.88E-20,69,133,1,1,35,60,29,11.7101,-0.0535,-0.0994,-0.0041,-0.1448,-1.0861,-0.0213,-0.1788,0.0018,3.21692,0.15613,0.14436,0.00497,0.22090,0.44450,0.00972,0.12557,0.00103,3.640,-0.343,-0.688,-0.828,-0.656,-2.443,-2.188,-1.424,1.780,5.69E-04,7.33E-01,4.94E-01,4.11E-01,5.15E-01,1.75E-02,3.26E-02,1.60E-01,8.01E-02,3.95E-03,9.33E-01,8.36E-01,5.41E-01,8.96E-01,2.26E-01,2.24E-01,3.81E-01,2.40E-01
SLC1A6,69,133,2,1,35,16.839,0.714,22.120,0.000,3.141,4.156,1.691,0.924,121.850,4.070E-05,7.00E-01,2.56E-06,9.94E-01,7.63E-02,4.15E-02,1.93E-01,3.37E-01,1.55E-11,2.54E-04,8.27E-01,1.90E-05,9.94E-01,2.06E-01,1.23E-01,3.58E-01,4.67E-01,1.98E-11,69,133,1,1,35,60,29,-5.8157,-0.0584,-0.0231,-0.0104,0.0007,0.3473,0.0087,0.0718,0.0004,1.73248,0.08442,0.07772,0.00270,0.11836,0.23954,0.00522,0.06747,0.00056,-3.357,-0.691,-0.297,-3.847,0.006,1.450,1.668,1.064,0.786,1.37E-03,4.92E-01,7.68E-01,2.92E-04,9.95E-01,1.52E-01,1.01E-01,2.92E-01,4.35E-01,6.21E-03,7.69E-01,9.17E-01,2.16E-03,9.95E-01,4.05E-01,2.83E-01,5.31E-01,6.03E-01
SLC32A1,69,133,2,1,35,16.525,2.848,14.003,2.979,5.923,0.002,10.188,5.806,243.743,4.801E-05,2.41E-01,1.82E-04,8.43E-02,1.49E-02,9.66E-01,1.41E-03,1.60E-02,4.16E-33,2.54E-04,5.04E-01,7.50E-04,5.69E-01,9.59E-02,9.74E-01,9.23E-03,5.91E-02,1.40E-32,69,133,1,1,35,60,29,-5.9428,-0.0132,-0.1050,-0.0085,-0.1720,0.4920,-0.0002,0.1815,-0.0011,1.78701,0.08718,0.08016,0.00279,0.12183,0.24711,0.00538,0.06951,0.00058,-3.326,-0.152,-1.310,-3.061,-1.412,1.991,-0.035,2.611,-1.971,1.51E-03,8.80E-01,1.95E-01,3.30E-03,1.63E-01,5.10E-02,9.72E-01,1.14E-02,5.33E-02,6.21E-03,9.75E-01,7.17E-01,1.31E-02,8.42E-01,3.22E-01,9.77E-01,7.02E-02,1.83E-01
SLC38A1,69,133,2,1,35,11.776,8.184,0.178,3.668,5.759,0.017,8.620,2.353,385.824,6.001E-04,1.67E-02,6.73E-01,5.55E-02,1.64E-02,8.96E-01,3.33E-03,1.25E-01,1.08E-60,1.89E-03,1.85E-01,7.69E-01,5.59E-01,9.59E-02,9.46E-01,1.76E-02,2.60E-01,1.50E-59,69,133,1,1,35,60,29,-4.5127,0.1316,-0.0562,0.0009,-0.1719,0.4364,0.0005,0.1503,0.0007,1.60755,0.07838,0.07211,0.00250,0.10970,0.22228,0.00484,0.06256,0.00052,-2.807,1.679,-0.779,0.345,-1.567,1.963,0.107,2.402,1.255,6.73E-03,9.84E-02,4.39E-01,7.31E-01,1.22E-01,5.43E-02,9.15E-01,1.94E-02,2.14E-01,1.88E-02,5.99E-01,8.32E-01,8.28E-01,8.42E-01,3.22E-01,9.65E-01,9.80E-02,4.24E-01
SLC6A1,69,133,2,1,35,5.752,0.260,7.006,0.001,0.026,0.703,0.451,4.103,94.556,1.647E-02,8.78E-01,8.12E-03,9.82E-01,8.71E-01,4.02E-01,5.02E-01,4.28E-02,2.22E-07,3.10E-02,9.03E-01,2.05E-02,9.91E-01,9.45E-01,5.25E-01,6.26E-01,1.16E-01,2.46E-07,69,133,1,1,35,60,29,2.8306,-0.0278,-0.0185,-0.0048,0.0018,-0.0264,0.0030,-0.0309,0.0008,1.44272,0.07016,0.06473,0.00224,0.09883,0.19942,0.00435,0.05626,0.00046,1.962,-0.396,-0.285,-2.165,0.019,-0.133,0.686,-0.549,1.657,5.44E-02,6.94E-01,7.76E-01,3.44E-02,9.85E-01,8.95E-01,4.96E-01,5.85E-01,1.03E-01,1.02E-01,9.17E-01,9.17E-01,8.67E-02,9.94E-01,9.55E-01,6.34E-01,7.10E-01,2.64E-01
SLC6A11,69,133,2,1,35,3.305,4.414,0.006,1.945,3.135,1.037,12.960,0.189,280.051,6.909E-02,1.10E-01,9.37E-01,1.63E-01,7.66E-02,3.09E-01,3.18E-04,6.64E-01,5.27E-40,1.05E-01,3.82E-01,9.54E-01,6.05E-01,2.06E-01,4.45E-01,2.59E-03,7.37E-01,2.54E-39,69,133,1,1,35,60,29,3.7200,0.1899,-0.0014,0.0003,-0.1946,-0.5010,-0.0063,-0.2866,0.0003,2.50151,0.12202,0.11221,0.00390,0.17059,0.34591,0.00753,0.09732,0.00081,1.487,1.556,-0.013,0.064,-1.141,-1.448,-0.833,-2.945,0.356,1.42E-01,1.25E-01,9.90E-01,9.49E-01,2.58E-01,1.53E-01,4.08E-01,4.59E-03,7.23E-01,2.13E-01,5.99E-01,9.90E-01,9.66E-01,8.42E-01,4.05E-01,5.88E-01,3.60E-02,8.03E-01
SLC6A12,69,133,2,1,35,16.666,1.152,1.114,0.996,7.666,3.859,0.881,1.630,168.648,4.456E-05,5.62E-01,2.91E-01,3.18E-01,5.63E-03,4.95E-02,3.48E-01,2.02E-01,2.08E-19,2.54E-04,7.44E-01,4.00E-01,6.68E-01,5.68E-02,1.28E-01,5.15E-01,3.44E-01,3.72E-19,69,133,1,1,35,60,29,-6.5336,-0.0114,-0.0737,-0.0026,-0.1096,0.6123,0.0095,-0.0586,0.0007,1.95642,0.09501,0.08779,0.00303,0.13425,0.27036,0.00591,0.07634,0.00063,-3.340,-0.120,-0.840,-0.863,-0.816,2.265,1.607,-0.768,1.044,1.45E-03,9.05E-01,4.04E-01,3.91E-01,4.18E-01,2.71E-02,1.13E-01,4.46E-01,3.01E-01,6.21E-03,9.75E-01,8.32E-01,5.37E-01,8.58E-01,2.51E-01,2.86E-01,6.51E-01,4.98E-01
SLC6A13,69,133,2,1,35,6.165,2.166,8.918,3.640,1.290,0.713,0.014,1.017,101.664,1.303E-02,3.39E-01,2.82E-03,5.64E-02,2.56E-01,3.99E-01,9.07E-01,3.13E-01,2.03E-08,2.54E-02,6.34E-01,8.71E-03,5.59E-01,4.44E-01,5.25E-01,9.29E-01,4.56E-01,2.32E-08,69,133,1,1,35,60,29,-5.7237,0.1101,-0.0599,-0.0114,-0.3018,0.3614,0.0059,-0.0106,-0.0008,2.82337,0.13726,0.12741,0.00467,0.19374,0.38969,0.00862,0.11100,0.00092,-2.027,0.802,-0.470,-2.438,-1.558,0.927,0.689,-0.095,-0.823,4.72E-02,4.26E-01,6.40E-01,1.78E-02,1.25E-01,3.57E-01,4.93E-01,9.24E-01,4.14E-01,9.03E-02,7.18E-01,8.66E-01,5.30E-02,8.42E-01,6.06E-01,6.34E-01,9.45E-01,5.98E-01
SLC7A11,69,133,2,1,35,5.338,1.596,1.876,0.001,8.209,5.651,1.498,10.118,334.395,2.086E-02,4.50E-01,1.71E-01,9.72E-01,4.17E-03,1.74E-02,2.21E-01,1.47E-03,1.52E-50,3.86E-02,6.90E-01,2.71E-01,9.90E-01,4.63E-02,7.51E-02,3.88E-01,1.39E-02,1.11E-49,69,133,1,1,35,60,29,5.9925,-0.1530,-0.0963,0.0055,-0.0062,-1.0271,-0.0186,-0.1238,0.0027,3.17063,0.15415,0.14227,0.00491,0.21730,0.43824,0.00957,0.12366,0.00102,1.890,-0.993,-0.677,1.120,-0.028,-2.344,-1.945,-1.001,2.602,6.36E-02,3.25E-01,5.01E-01,2.67E-01,9.77E-01,2.24E-02,5.65E-02,3.21E-01,1.17E-02,1.18E-01,6.30E-01,8.36E-01,4.23E-01,9.94E-01,2.26E-01,2.24E-01,5.59E-01,1.09E-01
SNCA,69,133,2,1,35,0.263,8.250,1.290,0.305,5.158,8.665,0.005,9.543,153.935,6.077E-01,1.62E-02,2.56E-01,5.81E-01,2.31E-02,3.24E-03,9.45E-01,2.01E-03,7.38E-17,6.81E-01,1.85E-01,3.69E-01,8.51E-01,1.11E-01,4.00E-02,9.54E-01,1.59E-02,1.14E-16,69,133,1,1,35,60,29,-0.4611,0.1015,0.1012,-0.0016,0.0338,0.2821,0.0080,0.0024,0.0009,1.09806,0.05355,0.04926,0.00171,0.07491,0.15184,0.00331,0.04273,0.00036,-0.420,1.896,2.054,-0.929,0.452,1.858,2.408,0.056,2.527,6.76E-01,6.28E-02,4.44E-02,3.56E-01,6.53E-01,6.81E-02,1.91E-02,9.55E-01,1.42E-02,7.58E-01,5.99E-01,3.35E-01,5.07E-01,9.29E-01,3.22E-01,2.24E-01,9.64E-01,1.12E-01
SRR,69,133,2,1,35,20.483,4.907,4.309,1.941,5.802,0.002,4.725,1.242,267.165,6.015E-06,8.60E-02,3.79E-02,1.64E-01,1.60E-02,9.62E-01,2.97E-02,2.65E-01,1.53E-37,7.42E-05,3.26E-01,7.79E-02,6.05E-01,9.59E-02,9.74E-01,8.46E-02,4.09E-01,6.79E-37,69,133,1,1,35,60,29,-6.1689,0.1388,0.0127,-0.0047,-0.1274,0.4560,0.0002,-0.1145,0.0005,1.68252,0.08237,0.07626,0.00277,0.11285,0.23371,0.00526,0.06505,0.00055,-3.666,1.685,0.167,-1.682,-1.129,1.951,0.038,-1.761,0.903,5.42E-04,9.75E-02,8.68E-01,9.81E-02,2.64E-01,5.59E-02,9.70E-01,8.36E-02,3.70E-01,3.95E-03,5.99E-01,9.33E-01,1.94E-01,8.42E-01,3.22E-01,9.77E-01,2.32E-01,5.70E-01
ADRB1,69,154,2,1,19,0.337,0.954,5.613,1.078,0.152,2.295,4.025,1.800,100.659,5.617E-01,6.21E-01,1.78E-02,2.99E-01,6.97E-01,1.30E-01,4.48E-02,1.80E-01,4.07E-13,6.43E-01,7.89E-01,4.05E-02,6.68E-01,8.31E-01,2.44E-01,1.16E-01,3.12E-01,5.79E-13,69,154,1,1,19,60,66,-0.7597,-0.0102,0.0556,-0.0049,0.1009,-0.0739,0.0063,-0.1084,0.0006,1.44727,0.07821,0.07314,0.00230,0.10744,0.20954,0.00458,0.05971,0.00051,-0.525,-0.130,0.761,-2.143,0.939,-0.353,1.370,-1.815,1.213,6.01E-01,8.97E-01,4.50E-01,3.62E-02,3.52E-01,7.26E-01,1.76E-01,7.46E-02,2.30E-01,6.88E-01,9.75E-01,8.32E-01,8.73E-02,8.42E-01,8.66E-01,3.68E-01,2.12E-01,4.25E-01
ADRB2,69,154,2,1,19,1.292,2.013,11.003,3.470,1.890,4.053,6.022,1.866,182.522,2.558E-01,3.66E-01,9.10E-04,6.25E-02,1.69E-01,4.41E-02,1.41E-02,1.72E-01,9.85E-29,3.30E-01,6.34E-01,3.06E-03,5.59E-01,3.48E-01,1.25E-01,4.71E-02,3.03E-01,2.73E-28,69,154,1,1,19,60,66,2.1161,-0.1181,-0.1101,-0.0098,-0.2499,-0.3678,-0.0115,-0.1858,-0.0009,2.05856,0.11018,0.10281,0.00327,0.14832,0.29578,0.00631,0.08369,0.00070,1.028,-1.072,-1.071,-3.000,-1.685,-1.243,-1.821,-2.220,-1.236,3.08E-01,2.88E-01,2.89E-01,3.92E-03,9.72E-02,2.19E-01,7.36E-02,3.02E-02,2.21E-01,4.02E-01,5.99E-01,7.81E-01,1.48E-02,8.42E-01,4.87E-01,2.57E-01,1.26E-01,4.24E-01
COMT,69,154,2,1,19,0.001,0.731,0.012,0.025,0.773,5.033,0.349,1.274,92.898,9.701E-01,6.94E-01,9.14E-01,8.74E-01,3.79E-01,2.49E-02,5.55E-01,2.59E-01,1.01E-11,9.79E-01,8.27E-01,9.48E-01,9.80E-01,5.62E-01,9.86E-02,6.55E-01,4.05E-01,1.34E-11,69,154,1,1,19,60,66,-0.0651,0.0518,0.0714,-0.0003,-0.0205,-0.2212,-0.0123,-0.0424,-0.0007,1.91788,0.10379,0.09723,0.00304,0.14328,0.27814,0.00608,0.07929,0.00067,-0.034,0.499,0.735,-0.098,-0.143,-0.795,-2.029,-0.535,-1.021,9.73E-01,6.20E-01,4.65E-01,9.23E-01,8.87E-01,4.30E-01,4.69E-02,5.95E-01,3.11E-01,9.82E-01,8.82E-01,8.32E-01,9.57E-01,9.94E-01,6.68E-01,2.24E-01,7.10E-01,5.01E-01
DBH,69,154,2,1,19,9.340,5.623,2.116,0.496,0.015,2.490,0.356,5.907,146.739,2.242E-03,6.01E-02,1.46E-01,4.81E-01,9.02E-01,1.15E-01,5.51E-01,1.51E-02,9.31E-22,5.08E-03,3.02E-01,2.42E-01,7.86E-01,9.45E-01,2.23E-01,6.55E-01,5.77E-02,1.85E-21,69,154,1,1,19,60,66,-6.5536,0.1376,0.2527,0.0050,0.1097,0.0380,0.0105,0.0523,-0.0018,2.37070,0.12726,0.11881,0.00377,0.17220,0.34133,0.00735,0.09687,0.00082,-2.764,1.081,2.127,1.316,0.637,0.111,1.427,0.539,-2.198,7.38E-03,2.84E-01,3.75E-02,1.93E-01,5.27E-01,9.12E-01,1.59E-01,5.92E-01,3.18E-02,1.95E-02,5.99E-01,3.35E-01,3.33E-01,8.96E-01,9.55E-01,3.58E-01,7.10E-01,1.36E-01
DDC,69,154,2,1,19,84.084,2.896,0.053,0.956,9.216,16.319,17.079,16.116,36.521,4.743E-20,2.35E-01,8.18E-01,3.28E-01,2.40E-03,5.35E-05,3.59E-05,5.96E-05,9.10E-03,5.26E-18,5.02E-01,8.82E-01,6.75E-01,3.80E-02,5.94E-03,4.98E-04,1.65E-03,0.009268894,69,154,1,1,19,60,66,-25.1202,0.2217,-0.0291,-0.0010,-0.2022,1.2095,0.0351,0.4696,0.0038,3.02829,0.16413,0.15454,0.00477,0.22868,0.44043,0.00961,0.12562,0.00106,-8.295,1.351,-0.189,-0.208,-0.884,2.746,3.654,3.738,3.632,7.85E-12,1.82E-01,8.51E-01,8.36E-01,3.80E-01,7.94E-03,5.44E-04,4.15E-04,5.84E-04,8.71E-10,5.99E-01,9.33E-01,9.01E-01,8.42E-01,2.26E-01,6.03E-02,9.22E-03,1.80E-02
DRD1,69,154,2,1,19,11.484,4.860,7.521,2.222,1.592,1.722,0.298,0.074,132.427,7.020E-04,8.81E-02,6.10E-03,1.36E-01,2.07E-01,1.89E-01,5.85E-01,7.86E-01,5.06E-19,2.05E-03,3.26E-01,1.58E-02,5.99E-01,3.83E-01,2.97E-01,6.69E-01,8.08E-01,8.77E-19,69,154,1,1,19,60,66,-4.3767,0.1116,-0.0478,-0.0056,-0.1386,0.2341,0.0052,0.0287,-0.0001,1.42783,0.07641,0.07129,0.00227,0.10281,0.20512,0.00437,0.05802,0.00049,-3.065,1.461,-0.671,-2.481,-1.348,1.141,1.187,0.494,-0.246,3.15E-03,1.49E-01,5.05E-01,1.59E-02,1.83E-01,2.58E-01,2.40E-01,6.23E-01,8.07E-01,1.13E-02,5.99E-01,8.36E-01,4.91E-02,8.42E-01,5.21E-01,4.05E-01,7.28E-01,8.29E-01
