,b,se,pval,BH_adjPval,EntrezGeneID,GeneSymbol
3632,0.035934479,0.047376884,0.448162932,0.816414815,3654,IRAK1
3851,-0.047134165,0.062183883,0.448462709,0.816704317,3913,LAMB2
1786,-0.024844898,0.032820779,0.449057748,0.816704317,2219,FCN1
4713,-0.030328519,0.040066354,0.449075443,0.816704317,51614,ERGIC3
7158,-0.03039872,0.040172199,0.4492234,0.816704317,8438,RAD54L
148,-0.040411076,0.053406182,0.44924512,0.816704317,10184,LHFPL2
4655,0.0419238,0.055409275,0.449277185,0.816704317,51379,CRLF3
1431,-0.045833289,0.060577467,0.449285801,0.816704317,176,ACAN
1448,-0.028763327,0.038034328,0.449501423,0.816704317,1787,TRDMT1
5480,0.090872764,0.120167923,0.449520411,0.816704317,5801,PTPRR
1556,-0.097843561,0.129386525,0.449522476,0.816704317,1959,EGR2
105,0.036093141,0.0477372,0.449601254,0.816704317,10121,ACTR1A
4454,-0.027319423,0.036141977,0.449714083,0.816704317,4919,ROR1
1322,-0.024153407,0.031957586,0.449771664,0.816704317,1606,DGKA
6743,0.04432622,0.058652862,0.449806055,0.816704317,7694,ZNF135
6691,-0.102421177,0.135531834,0.449830103,0.816704317,7538,ZFP36
520,-0.027630268,0.036566417,0.449877848,0.816704317,10665,TSBP1
442,0.073053478,0.096711166,0.450022264,0.816753524,10561,IFI44
5978,0.042461441,0.056221761,0.450099465,0.816753524,6518,SLC2A5
4192,-0.022196986,0.029400626,0.450258905,0.816866339,4481,MSR1
3035,0.033742656,0.044730131,0.450632627,0.817093682,284,ANGPT1
4426,-0.061328402,0.081333834,0.450829351,0.817093682,4881,NPR1
6674,-0.051295161,0.068075461,0.45114685,0.817093682,7512,XPNPEP2
3214,0.037491998,0.049765275,0.45122358,0.817093682,3003,GZMK
6216,-0.027667438,0.036732831,0.451325339,0.817093682,6811,STX5
2866,0.103020449,0.136795702,0.451391557,0.817093682,27107,ZBTB11
1641,0.082233673,0.109227139,0.451528938,0.817093682,2044,EPHA5
5388,-0.040162324,0.053346893,0.451538756,0.817093682,5725,PTBP1
5750,-0.051445998,0.0683385,0.45156329,0.817093682,6276,S100A5
6483,0.073644067,0.097944709,0.452114637,0.817093682,7184,HSP90B1
6065,0.030560542,0.040648183,0.45215302,0.817093682,661,POLR3D
79,-0.121747715,0.161941388,0.452170673,0.817093682,10085,EDIL3
6034,-0.058845896,0.078288257,0.452257514,0.817093682,6578,SLCO2A1
4435,-0.033596939,0.044698022,0.452266003,0.817093682,489,ATP2A3
1680,-0.026622755,0.035421436,0.452291583,0.817093682,210,ALAD
4463,0.01993346,0.026525615,0.452364035,0.817093682,4927,NUP88
662,0.068643882,0.091349836,0.452388152,0.817093682,10943,MSL3
6591,-0.296964334,0.395236858,0.452437295,0.817093682,7368,UGT8
6360,0.028420805,0.037833153,0.452523703,0.817093682,7036,TFR2
3398,-0.048199522,0.064168606,0.452569204,0.817093682,3270,HRC
3067,-0.027918796,0.037180703,0.452715984,0.817093682,2863,GPR39
944,-0.051696326,0.068849987,0.452740202,0.817093682,1153,CIRBP
7695,0.036056331,0.048039023,0.452915476,0.817093682,9130,FAM50A
3674,-0.035928547,0.047872604,0.452951641,0.817093682,3699,ITIH3
1783,0.039467585,0.052591071,0.452976674,0.817093682,2218,FKTN
863,-0.029277175,0.039013265,0.452988804,0.817093682,112479,ERI2
1195,-0.024602803,0.032789265,0.45305536,0.817093682,1460,CSNK2B
2329,0.028132107,0.037497339,0.453108511,0.817093682,23468,CBX5
7632,0.028899013,0.038532043,0.453254998,0.817182368,905,CCNT2
4506,-0.067602888,0.090192158,0.453530072,0.817502799,501,ALDH7A1
815,0.037289214,0.049819674,0.454168452,0.818244837,11168,PSIP1
8214,0.059694986,0.079775719,0.454288174,0.818244837,9815,GIT2
7364,0.092432985,0.123531028,0.454305017,0.818244837,8668,EIF3I
2333,0.059426008,0.07945461,0.454506011,0.818244837,23474,ETHE1
4244,-0.035776208,0.047835694,0.45452183,0.818244837,4617,MYF5
3826,0.027059294,0.036180834,0.454526336,0.818244837,3891,KRT85
3551,0.026588465,0.035559392,0.454629125,0.818254478,3553,IL1B
5362,-0.040001253,0.053522242,0.454836463,0.818452243,57152,SLURP1
5013,0.01704089,0.022814264,0.455099669,0.818646004,54677,CROT
2641,0.05852263,0.078361854,0.455168911,0.818646004,25978,CHMP2B
4413,-0.073032916,0.097833914,0.455366055,0.818646004,4856,CCN3
7053,-0.05367771,0.071911873,0.455403242,0.818646004,8273,SLC10A3
4754,0.059332594,0.079492695,0.455431547,0.818646004,5188,GATB
4181,-0.241161332,0.323267869,0.455660872,0.818882945,443,ASPA
3591,-0.021777879,0.02921064,0.455941649,0.819212231,360,AQP3
2742,0.034067202,0.045754253,0.456532268,0.820097966,26234,FBXL5
1402,-0.02673333,0.03591327,0.456643077,0.820104437,1720,DHFRP3
5662,-0.039372114,0.052916037,0.456846954,0.820104437,6046,BRD2
1401,0.060844984,0.081788468,0.456918166,0.820104437,1718,DHCR24
5248,0.0187505,0.025205368,0.456931524,0.820104437,56252,YLPM1
4288,-0.028899487,0.038857359,0.457038231,0.820104437,4676,NAP1L4
6146,-0.053707663,0.072264237,0.457353216,0.820104437,6712,SPTBN2
8299,0.024658408,0.033180533,0.457385488,0.820104437,9913,SUPT7L
3743,-0.049086294,0.066051983,0.457393037,0.820104437,3778,KCNMA1
7667,-0.048887279,0.065787359,0.457414763,0.820104437,90993,CREB3L1
3605,0.035744144,0.04812157,0.457609801,0.820175729,3614,IMPDH1
3188,-0.036626654,0.049315473,0.457662684,0.820175729,2990,GUSB
5711,-0.035938724,0.048398347,0.457747516,0.820175729,6194,RPS6
7826,0.032852351,0.044279655,0.458130479,0.820668908,9306,SOCS6
236,-0.168123299,0.226647239,0.458218208,0.820668908,1028,CDKN1C
7239,0.054879877,0.074055932,0.458657153,0.821197326,8507,ENC1
5417,0.074982085,0.101209739,0.458779305,0.821197326,57498,KIDINS220
8200,0.029768308,0.040192405,0.458908647,0.821197326,9797,TATDN2
6232,-0.064783322,0.087471992,0.458925156,0.821197326,6835,SURF2
3285,0.061374484,0.082899622,0.459089485,0.821197326,3096,HIVEP1
886,-0.035346004,0.047743598,0.459099958,0.821197326,11314,CD300A
146,0.043857486,0.059262732,0.459268621,0.821286351,10180,RBM6
2588,-0.057066252,0.077138383,0.459427055,0.821286351,25865,PRKD2
6521,-0.03750466,0.050707038,0.459521974,0.821286351,7273,TTN
2227,0.024543555,0.033184768,0.45954091,0.821286351,23310,NCAPD3
8154,0.030848377,0.041725445,0.459713861,0.821420639,9749,PHACTR2
3233,-0.087053477,0.117775395,0.459816983,0.821430127,303,ANXA2P1
5969,0.081702808,0.11060858,0.460109778,0.821754972,6511,SLC1A6
2302,-0.034723467,0.047017221,0.460194527,0.821754972,23403,FBXO46
8008,-0.052899567,0.071651891,0.460340853,0.821841515,9563,H6PD
5996,0.033653381,0.045623211,0.460734897,0.822148532,6533,SLC6A6
3655,-0.031756324,0.043052286,0.460744029,0.822148532,368,ABCC6
4059,0.072561314,0.098385628,0.460806518,0.822148532,4199,ME1
2245,0.025729069,0.034913869,0.461165068,0.822569388,23332,CLASP1
623,-0.127612485,0.173196073,0.461238301,0.822569388,10875,FGL2
1907,-0.024025898,0.032631024,0.461554208,0.822958012,22900,CARD8
7622,-0.026878202,0.03654237,0.462013562,0.823602185,904,CCNT1
5945,0.019865506,0.027035031,0.462457586,0.824199833,64963,MRPS11
707,-0.037758666,0.051415782,0.46271783,0.824199833,11005,SPINK5
4884,-0.032637923,0.044443289,0.462721833,0.824199833,5341,PLEK
8371,-0.117480586,0.159994535,0.462778871,0.824199833,AFFX-HSAC07/X00351_5,NA
5882,-0.023986866,0.032671678,0.462839535,0.824199833,643641,ZNF862
2926,0.028339347,0.038619077,0.463060106,0.824339669,27314,RAB30
645,-0.113168838,0.154238082,0.463114379,0.824339669,10912,GADD45G
4033,-0.02990825,0.040780359,0.463315473,0.824507004,4157,MC1R
3913,-0.027279812,0.037209895,0.463477157,0.824507004,4004,LMO1
4580,-0.040936429,0.055840855,0.463502925,0.824507004,5096,PCCB
1625,-0.038049173,0.051944444,0.463864997,0.824583065,203,AK1
3472,0.02601835,0.035521845,0.463887515,0.824583065,3396,MRPL58
717,-0.021064821,0.028759848,0.46390095,0.824583065,11015,KDELR3
406,-0.028569519,0.039012368,0.463973568,0.824583065,10524,KAT5
7975,-0.03676881,0.050215783,0.464036624,0.824583065,952,CD38
4554,-0.031169025,0.04258488,0.464213099,0.82462092,5075,PAX1
1061,-0.156846941,0.214334245,0.464298792,0.82462092,1298,COL9A2
8064,0.02126428,0.02906555,0.464414352,0.82462092,9647,PPM1F
2961,-0.054792688,0.074909087,0.464500776,0.82462092,2746,GLUD1
5679,0.030492805,0.041692513,0.464550963,0.82462092,6095,RORA
4627,0.027694231,0.037882814,0.464748623,0.82462092,5125,PCSK5
6284,-0.026603225,0.036392115,0.464769258,0.82462092,690,BTF3P11
3548,-0.027479697,0.03760308,0.46491163,0.82462092,355,FAS
5424,-0.028239987,0.038646057,0.46494166,0.82462092,57553,MICAL3
3644,-0.032163458,0.044046637,0.465259571,0.825008428,3669,ISG20
7189,-0.022845542,0.031292909,0.465356623,0.825008428,8464,SUPT3H
1393,-0.027428678,0.037584936,0.465525603,0.825127704,171017,ZNF384
7083,0.067763737,0.092878679,0.465638321,0.825127704,8341,H2BC15
5773,-0.052504724,0.071991019,0.465803951,0.825127704,6307,MSMO1
7496,-0.055980528,0.076759043,0.465816914,0.825127704,8852,AKAP4
6424,-0.067387624,0.092460509,0.466108101,0.825147035,7103,TSPAN8
7909,0.027376504,0.037564638,0.466133855,0.825147035,9416,DDX23
4634,-0.024759637,0.033977471,0.466180621,0.825147035,513,ATP5F1D
8119,0.040410573,0.05547521,0.466341955,0.825147035,9708,PCDHGA8
8171,0.036855221,0.050610277,0.46648128,0.825147035,9766,SUSD6
6334,-0.026537994,0.03644729,0.466540245,0.825147035,7006,TEC
5421,-0.018363722,0.025226801,0.466647288,0.825147035,5753,PTK6
3628,0.034533716,0.047456541,0.466802518,0.825147035,3642,INSM1
6507,-0.027204132,0.037390846,0.466882178,0.825147035,7251,TSG101
154,0.024778936,0.034057629,0.46688357,0.825147035,101929524,LOC101929524
7971,-0.087364602,0.120085814,0.466908634,0.825147035,9516,LITAF
2735,0.022544416,0.031000288,0.467083562,0.825151418,26212,OR2B6
7149,-0.028602503,0.039346674,0.467265333,0.825151418,84272,YIPF4
4021,-0.037022552,0.050934249,0.467305906,0.825151418,4145,MATK
6780,0.027435409,0.037767225,0.467572556,0.825151418,7756,ZNF207
5628,-0.027460273,0.037804344,0.467606588,0.825151418,5994,RFXAP
6472,-0.04836041,0.066599372,0.467753489,0.825151418,7169,TPM2
4973,-0.03283817,0.045229932,0.467821976,0.825151418,5447,POR
6599,0.036599673,0.050417661,0.467881921,0.825151418,7378,UPP1
7900,0.028376041,0.039093554,0.46793097,0.825151418,9407,TMPRSS11D
