"","Iwamoto_BipolarEffectSize","EntrezGeneID","GeneSymbol","Iwamoto_BipolarSamplingVariance","GeneSymbol"
"188",0.05534397,"10216","PRG4",0.00376219914999757,"PRG4"
"189",0.160152316,"10217","CTDSPL",0.00446546952175586,"CTDSPL"
"190",-0.049095838,"10218","ANGPTL7",0.00867847891516248,"ANGPTL7"
"191",-0.003127411,"10219","KLRG1",0.0043904252592971,"KLRG1"
"192",-0.021494641,"1022","CDK7",0.0131483142790864,"CDK7"
"193",-0.034498931,"10220","GDF11",0.00657426211955999,"GDF11"
"194",0.004309903,"10221","TRIB1",0.00698618789830435,"TRIB1"
"195",-0.005740086,"10223","GPA33",0.00675272740151063,"GPA33"
"196",0.127137139,"10225","CD96",0.0114405283192952,"CD96"
"197",-0.040412159,"10226","PLIN3",0.00971324279558527,"PLIN3"
"198",-0.046068939,"10227","MFSD10",0.00426853755457548,"MFSD10"
"199",0.011464739,"10228","STX6",0.0027416852633164,"STX6"
"200",0.057368051,"10229","COQ7",0.00505302975209258,"COQ7"
"201",-0.128929798,"10230","NBR2",0.0096926281897004,"NBR2"
"202",0.014519618,"10231","RCAN2",0.00793715566009138,"RCAN2"
"203",-0.048176559,"10232","MSLN",0.00584344231603878,"MSLN"
"204",-0.182626571,"10233","LRRC23",0.00648340331953502,"LRRC23"
"205",-0.07600086,"10234","LRRC17",0.00449064512715706,"LRRC17"
"206",0.002013875,"10235","RASGRP2",0.00663925067476025,"RASGRP2"
"207",0.070704109,"10236","HNRNPR",0.0124442356532747,"HNRNPR"
"208",0.050655886,"10237","SLC35B1",0.00290801009358486,"SLC35B1"
"209",-0.014017128,"10238","DCAF7",0.00373168944868451,"DCAF7"
"210",0.08115216,"1024","CDK8",0.00419845448475373,"CDK8"
"211",0.06432392,"10240","MRPS31",0.00708166034733316,"MRPS31"
"212",0.206277558,"10241","CALCOCO2",0.0157161472507826,"CALCOCO2"
"213",-0.129621554,"10244","RABEPK",0.00914319849632268,"RABEPK"
"214",-0.104484099,"10245","TIMM17B",0.00489038297182534,"TIMM17B"
"215",0.034863003,"10246","SLC17A2",0.0053191892894135,"SLC17A2"
"216",0.122900103,"10247","RIDA",0.0112271315068476,"RIDA"
"217",0.014126862,"10248","POP7",0.0161665790268151,"POP7"
