"","Maycox_SchizEffectSize","EntrezGeneID","GeneSymbol","Iwamoto_SchizEffectSize","GeneSymbol"
"281",-0.021476759,"100287015","LOC100287015",NA,NA
"282",-0.112488066,"100287098","TONSL-AS1",NA,NA
"283",0.057257149,"100287114","LINC00421",NA,NA
"284",-0.097242669,"100287177","EML2-AS1",NA,NA
"285",-0.014850434,"100287216","SH3RF3-AS1",NA,NA
"286",-0.029909304,"100287227","TIPARP-AS1",NA,NA
"287",-0.069515167,"100287290","LOC100287290",NA,NA
"288",-0.049387695,"100287366","OSTM1-AS1",NA,NA
"289",-0.077431156,"100287387","LOC100287387",0.027147977,"LOC100287387"
"290",-0.023801228,"100287467","LOC100287467",NA,NA
"291",0.064729152,"100287482","SMKR1",NA,NA
"292",0.020573403,"100287569","LINC00173",NA,NA
"293",0.020893914,"100287616","LOXL1-AS1",NA,NA
"294",0.12726009,"100287765","LINC00630",NA,NA
"295",-0.122654271,"100287808","LOC100287808",NA,NA
"296",-0.120565951,"100287814","LINC00582",NA,NA
"297",0.072562586,"100287896","LOC100287896",NA,NA
"298",-0.042744135,"100287902","LGALS8-AS1",NA,NA
"299",0.096782641,"100287932","TIMM23",NA,NA
"300",0.023652298,"100288079","GS1-279B7.1",NA,NA
"301",-0.029150377,"100288122","LDLRAD4-AS1",NA,NA
"302",-0.060373473,"100288123","LOC100288123",NA,NA
"303",-0.190182982,"100288152","SLC9A3-AS1",NA,NA
"304",-0.006786194,"100288198","HMGN3-AS1",NA,NA
"305",-0.042890494,"100288413","ERVMER34-1",NA,NA
"306",-0.049907272,"100288432","IL10RB-DT",NA,NA
"307",-0.322754617,"100288637","LOC100288637",NA,NA
"308",-0.020215452,"100288730","PAN3-AS1",NA,NA
"309",-0.082176208,"100288797","TMEM239",NA,NA
"310",0.174168485,"100288911","CRIM1-DT",NA,NA
"311",0.054087607,"100289019","SLC25A25-AS1",NA,NA
"312",-0.026929545,"100289061","ADAMTSL4-AS2",NA,NA
"313",-0.041975815,"100289092","ATP2A1-AS1",NA,NA
"314",0.424226478,"100289097","FRG1CP",NA,NA
"315",0.081679926,"100289098","GS1-124K5.4",NA,NA
"316",0.050240008,"100289187","TMEM225B",NA,NA
"317",-0.027205588,"100289230","LOC100289230",NA,NA
"318",-0.052408573,"100289255","TMEM238L",NA,NA
"319",0.042429556,"100289274","DNAJC3-DT",NA,NA
"320",0.001948149,"100289341","MAN1B1-DT",NA,NA
"321",-0.098436071,"100289361","LOC100289361",NA,NA
"322",-0.008449049,"100289373","UBAC2-AS1",NA,NA
"323",-0.011558839,"100289410","MCF2L-AS1",NA,NA
"324",-0.0340328,"100289495","LOC100289495",NA,NA
"325",-0.052563669,"100289509","KCNIP2-AS1",NA,NA
"326",0.009796231,"100289635","ZNF605",NA,NA
"327",0.017648653,"100289678","ZNF783",NA,NA
"328",-0.008291734,"100292680","LINC00942",NA,NA
"329",-0.01064058,"100293516","ZNF587B",NA,NA
"330",0.00794341,"100294362","RNF213-AS1",NA,NA
"331",-0.057826605,"100294720","NHEG1",NA,NA
"332",0.133608315,"1003","CDH5",-0.147503079,"CDH5"
"333",-0.04549642,"100302522","PTCSC1",NA,NA
"334",0.025203626,"100302650","BABAM2-AS1",NA,NA
"335",-0.08686329,"100302691","LINC00184",NA,NA
"336",-0.093303314,"100302740","FAS-AS1",NA,NA
"337",-0.062652912,"100303728","SLC25A5-AS1",NA,NA
"338",0.074849269,"100303755","PET117",NA,NA
"339",-0.047731238,"100306951","PITPNA-AS1",NA,NA
"340",0.0229067,"100309464","OTX2-AS1",NA,NA
"341",-0.065736002,"100310756","LOC100310756",NA,NA
"342",0.076384583,"100310838","VDAC1P3",-0.103290271,"VDAC1P3"
"343",0.049936645,"100310840","VDAC1P8",NA,NA
"344",-0.1061334,"100310850","SNRPCP11",NA,NA
"345",-0.009425116,"100316868","HOTTIP",NA,NA
"346",-0.039586019,"100316904","SAP25",-0.089479027,"SAP25"
"347",-0.050887915,"100329135","TRPC5OS",NA,NA
"348",-0.019322027,"100359394","LINC00102",NA,NA
"349",-0.037432309,"10036","CHAF1A",0.042384386,"CHAF1A"
"350",0.01725171,"100379174","MACROD2-AS1",NA,NA
"351",0.03821007,"100379224","LOC100379224",NA,NA
"352",-0.046545699,"100379661","GRIK1-AS2",NA,NA
"353",0.165376593,"10038","PARP2",0.042764016,"PARP2"
"354",-0.06867391,"100381270","ZBED6",NA,NA
"355",-0.052003093,"10039","PARP3",-0.00740032,"PARP3"
"356",-0.01757801,"1004","CDH6",0.014793214,"CDH6"
"357",0.015344961,"10040","TOM1L1",-0.151474319,"TOM1L1"
"358",0.077056042,"100419583","LOC100419583",NA,NA
