"","Maycox_SchizEffectSize","EntrezGeneID","GeneSymbol","Maycox_SchizSamplingVariance","GeneSymbol"
"290",-0.023801228,"100287467","LOC100287467",0.00282911516966274,"LOC100287467"
"291",0.064729152,"100287482","SMKR1",0.00398899139045899,"SMKR1"
"292",0.020573403,"100287569","LINC00173",0.00223324539375757,"LINC00173"
"293",0.020893914,"100287616","LOXL1-AS1",0.00262059015242588,"LOXL1-AS1"
"294",0.12726009,"100287765","LINC00630",0.0020156752450042,"LINC00630"
"295",-0.122654271,"100287808","LOC100287808",0.00443925320436354,"LOC100287808"
"296",-0.120565951,"100287814","LINC00582",0.0032529123624026,"LINC00582"
"297",0.072562586,"100287896","LOC100287896",0.00620540855982051,"LOC100287896"
"298",-0.042744135,"100287902","LGALS8-AS1",0.00287053657654183,"LGALS8-AS1"
"299",0.096782641,"100287932","TIMM23",0.00250282803058315,"TIMM23"
"300",0.023652298,"100288079","GS1-279B7.1",0.0030855195644722,"GS1-279B7.1"
"301",-0.029150377,"100288122","LDLRAD4-AS1",0.0012574587819736,"LDLRAD4-AS1"
"302",-0.060373473,"100288123","LOC100288123",0.0045315574366303,"LOC100288123"
"303",-0.190182982,"100288152","SLC9A3-AS1",0.0128992933680266,"SLC9A3-AS1"
"304",-0.006786194,"100288198","HMGN3-AS1",0.000736101661810351,"HMGN3-AS1"
"305",-0.042890494,"100288413","ERVMER34-1",0.0013411704878955,"ERVMER34-1"
"306",-0.049907272,"100288432","IL10RB-DT",0.00142244765751394,"IL10RB-DT"
"307",-0.322754617,"100288637","LOC100288637",0.0776999437955181,"LOC100288637"
"308",-0.020215452,"100288730","PAN3-AS1",0.00228183344516147,"PAN3-AS1"
"309",-0.082176208,"100288797","TMEM239",0.00118914574527692,"TMEM239"
"310",0.174168485,"100288911","CRIM1-DT",0.00474900517371418,"CRIM1-DT"
"311",0.054087607,"100289019","SLC25A25-AS1",0.00175513665556176,"SLC25A25-AS1"
"312",-0.026929545,"100289061","ADAMTSL4-AS2",0.00224559636515814,"ADAMTSL4-AS2"
"313",-0.041975815,"100289092","ATP2A1-AS1",0.00403190705799894,"ATP2A1-AS1"
"314",0.424226478,"100289097","FRG1CP",0.0449184058341075,"FRG1CP"
"315",0.081679926,"100289098","GS1-124K5.4",0.0036946413016531,"GS1-124K5.4"
"316",0.050240008,"100289187","TMEM225B",0.00378352148659844,"TMEM225B"
"317",-0.027205588,"100289230","LOC100289230",0.00295047338645762,"LOC100289230"
"318",-0.052408573,"100289255","TMEM238L",0.0016469770397821,"TMEM238L"
"319",0.042429556,"100289274","DNAJC3-DT",0.00347712978262726,"DNAJC3-DT"
"320",0.001948149,"100289341","MAN1B1-DT",0.0149516441371636,"MAN1B1-DT"
"321",-0.098436071,"100289361","LOC100289361",0.00432550904674612,"LOC100289361"
"322",-0.008449049,"100289373","UBAC2-AS1",0.00138936223929891,"UBAC2-AS1"
"323",-0.011558839,"100289410","MCF2L-AS1",0.00103886769132642,"MCF2L-AS1"
"324",-0.0340328,"100289495","LOC100289495",0.00484531934743758,"LOC100289495"
"325",-0.052563669,"100289509","KCNIP2-AS1",0.00762718259393106,"KCNIP2-AS1"
"326",0.009796231,"100289635","ZNF605",0.00674118732572431,"ZNF605"
"327",0.017648653,"100289678","ZNF783",0.000958813765315347,"ZNF783"
"328",-0.008291734,"100292680","LINC00942",0.00201498681550366,"LINC00942"
"329",-0.01064058,"100293516","ZNF587B",0.00379361904966403,"ZNF587B"
"330",0.00794341,"100294362","RNF213-AS1",0.00153379723372836,"RNF213-AS1"
"331",-0.057826605,"100294720","NHEG1",0.00137989413336099,"NHEG1"
"332",0.133608315,"1003","CDH5",0.0222640456583752,"CDH5"
"333",-0.04549642,"100302522","PTCSC1",0.0020698551062497,"PTCSC1"
"334",0.025203626,"100302650","BABAM2-AS1",0.00231307923624938,"BABAM2-AS1"
"335",-0.08686329,"100302691","LINC00184",0.00154605806081265,"LINC00184"
"336",-0.093303314,"100302740","FAS-AS1",0.00154607930188134,"FAS-AS1"
"337",-0.062652912,"100303728","SLC25A5-AS1",0.00238684146265056,"SLC25A5-AS1"
"338",0.074849269,"100303755","PET117",0.00676524395316131,"PET117"
